formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 61 x_3d = -0.0369 y_3d = 0.197 z_3d = 1.63, prob = 0.237
formula_perception_1  | x:-0.257732,	y:0.00960583
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 55 x_3d = -0.0181 y_3d = 0.198 z_3d = 1.61, prob = 0.259
formula_perception_1  | x:-0.217281,	y:0.0232322
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 52 x_3d = -0.0227 y_3d = 0.198 z_3d = 1.61, prob = 0.232
formula_perception_1  | x:-0.217669,	y:0.0278706
formula_perception_1  | obj_id = 2,  x = 279, y = 189, w = 59 x_3d = -0.0415 y_3d = 0.195 z_3d = 1.64, prob = 0.267
formula_perception_1  | x:-0.259509,	y:0.00498368
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 54 x_3d = -0.0181 y_3d = 0.198 z_3d = 1.61, prob = 0.25
formula_perception_1  | x:-0.217366,	y:0.0278318
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 51 x_3d = -0.0274 y_3d = 0.195 z_3d = 1.61, prob = 0.259
formula_perception_1  | x:-0.218097,	y:0.0279254
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 50 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.255
formula_perception_1  | x:-0.218132,	y:0.0279299
formula_perception_1  | obj_id = 2,  x = 286, y = 194, w = 50 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.286
formula_perception_1  | x:-0.222822,	y:0.0279403
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 49 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.256
formula_perception_1  | x:-0.2185,	y:0.027977
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 49 x_3d = -0.032 y_3d = 0.197 z_3d = 1.61, prob = 0.272
formula_perception_1  | x:-0.218322,	y:0.0279542
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 49 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.264
formula_perception_1  | x:-0.218276,	y:0.0279483
formula_perception_1  | obj_id = 2,  x = 287, y = 194, w = 48 x_3d = -0.032 y_3d = 0.197 z_3d = 1.61, prob = 0.245
formula_perception_1  | x:-0.218364,	y:0.0279595
formula_perception_1  | obj_id = 2,  x = 278, y = 190, w = 57 x_3d = -0.0509 y_3d = 0.201 z_3d = 1.65, prob = 0.269
formula_perception_1  | x:-0.265037,	y:0.00970273
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 61 x_3d = -0.0369 y_3d = 0.197 z_3d = nan, prob = 0.229
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 278, y = 190, w = 63 x_3d = -0.0406 y_3d = 0.201 z_3d = 1.62, prob = 0.268
formula_perception_1  | x:-0.261161,	y:0.00956091
formula_perception_1  | obj_id = 2,  x = 279, y = 189, w = 64 x_3d = -0.0321 y_3d = 0.194 z_3d = 1.62, prob = 0.215
formula_perception_1  | x:-0.255509,	y:0.00490684
formula_perception_1  | obj_id = 2,  x = 279, y = 189, w = 65 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.271
formula_perception_1  | x:-0.25509,	y:0.00489881
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 57 x_3d = -0.0135 y_3d = 0.202 z_3d = 1.6, prob = 0.311
formula_perception_1  | x:-0.21701,	y:0.0232033
formula_perception_1  | obj_id = 2,  x = 279, y = 189, w = 61 x_3d = -0.0369 y_3d = 0.197 z_3d = 1.63, prob = 0.264
formula_perception_1  | x:-0.257511,	y:0.00494539
formula_perception_1  | obj_id = 2,  x = 278, y = 188, w = 63 x_3d = -0.0369 y_3d = 0.197 z_3d = 1.63, prob = 0.26
formula_perception_1  | x:-0.262172,	y:0.00029306
formula_perception_1  | obj_id = 2,  x = 278, y = 189, w = 64 x_3d = -0.0367 y_3d = 0.199 z_3d = 1.62, prob = 0.329
formula_perception_1  | x:-0.26124,	y:0.00492794
formula_perception_1  | obj_id = 2,  x = 278, y = 186, w = 65 x_3d = -0.0367 y_3d = 0.192 z_3d = 1.63, prob = 0.295
formula_perception_1  | x:-0.26283,	y:-0.00903427
formula_perception_1  | obj_id = 2,  x = 278, y = 186, w = 66 x_3d = -0.0321 y_3d = 0.192 z_3d = 1.62, prob = 0.281
formula_perception_1  | x:-0.260733,	y:-0.00896214
formula_perception_1  | obj_id = 2,  x = 288, y = 192, w = 56 x_3d = -0.00906 y_3d = 0.201 z_3d = 1.6, prob = 0.248
formula_perception_1  | x:-0.212262,	y:0.0186059
formula_perception_1  | obj_id = 2,  x = 278, y = 186, w = 61 x_3d = -0.0415 y_3d = 0.195 z_3d = 1.63, prob = 0.244
formula_perception_1  | x:-0.262747,	y:-0.00903148
formula_perception_1  | obj_id = 2,  x = 278, y = 186, w = 64 x_3d = -0.0367 y_3d = 0.191 z_3d = 1.63, prob = 0.203
formula_perception_1  | x:-0.262844,	y:-0.00903471
formula_perception_1  | obj_id = 2,  x = 288, y = 192, w = 55 x_3d = -0.0135 y_3d = 0.202 z_3d = 1.6, prob = 0.208
formula_perception_1  | x:-0.212425,	y:0.0186202
formula_perception_1  | obj_id = 2,  x = 278, y = 185, w = 61 x_3d = -0.0415 y_3d = 0.183 z_3d = nan, prob = 0.232
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 278, y = 186, w = 65 x_3d = -0.0367 y_3d = 0.195 z_3d = 1.62, prob = 0.226
formula_perception_1  | x:-0.261369,	y:-0.00898403
formula_perception_1  | obj_id = 2,  x = 277, y = 185, w = 67 x_3d = -0.0367 y_3d = 0.195 z_3d = nan, prob = 0.202
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 278, y = 185, w = 67 x_3d = -0.032 y_3d = 0.191 z_3d = 1.62, prob = 0.206
formula_perception_1  | x:-0.260772,	y:-0.0135911
formula_perception_1  | obj_id = 2,  x = 277, y = 185, w = 68 x_3d = -0.032 y_3d = 0.196 z_3d = 1.62, prob = 0.309
formula_perception_1  | x:-0.264739,	y:-0.0135573
formula_perception_1  | obj_id = 2,  x = 279, y = 188, w = 67 x_3d = -0.0274 y_3d = 0.203 z_3d = 1.61, prob = 0.239
formula_perception_1  | x:-0.254391,	y:0.000289571
formula_perception_1  | obj_id = 2,  x = 279, y = 188, w = 66 x_3d = -0.0274 y_3d = 0.204 z_3d = 1.61, prob = 0.203
formula_perception_1  | x:-0.254243,	y:0.000289397
formula_perception_1  | obj_id = 2,  x = 288, y = 188, w = 47 x_3d = -0.0311 y_3d = 0.189 z_3d = 1.58, prob = 0.211
formula_perception_1  | x:-0.209031,	y:0.000284076
formula_perception_1  | obj_id = 2,  x = 291, y = 188, w = 42 x_3d = -0.0267 y_3d = 0.18 z_3d = 1.58, prob = 0.203
formula_perception_1  | x:-0.195701,	y:0.000284425
formula_perception_1  | obj_id = 2,  x = 291, y = 188, w = 41 x_3d = -0.0312 y_3d = 0.18 z_3d = 1.58, prob = 0.207
formula_perception_1  | x:-0.196099,	y:0.000284949
formula_perception_1  | obj_id = 2,  x = 290, y = 188, w = 42 x_3d = -0.0312 y_3d = 0.181 z_3d = 1.58, prob = 0.23
formula_perception_1  | x:-0.20086,	y:0.000285297
